"Phylostratum"	"GeneID"	"TP1"	"TP2"	"TP3"	"TP4"	"TP5"	"TP6"	"TP7"	"TP8"	"TP9"
4	"AT1G01010"	2.4167636715777	2.61994260364807	2.47372287008263	2.31700783566021	2.4619934386736	2.20069720753328	2.82119241449417	7.0391960130254	7.59030463433077
2	"AT1G01020"	2.49524569333002	2.5820870907	2.59736407135562	2.73074736984358	2.67645690386328	2.74708599255689	2.52896687437624	6.51072404150215	6.67232976049446
1	"AT1G01040"	4.85423590268111	5.09833613165867	4.76774613346211	4.65365274686865	4.47882927252088	4.80221047427135	5.14244164228307	28.0914915999079	22.5135438644033
1	"AT1G01050"	7.18149551774489	7.50639006237733	6.70510646156763	6.42344405499764	6.33967497633475	6.62978872278094	7.24053613626259	59.9402563808232	52.8523429317489
2	"AT1G01060"	8.3967361833285	9.95185615752371	9.38558266285056	6.31761479784787	6.78461989818882	7.33527865092357	8.91269917010336	152.080899479007	68.2825112449008
1	"AT1G01070"	7.72659759542657	8.99282702512961	7.92421423932228	6.84553875488942	6.47630630309528	6.00189081412866	7.78586218933501	77.1529854273509	50.1148228936586
1	"AT1G01080"	4.12345177017656	3.96989129299583	4.58535656735035	5.20120673802802	5.4590860515613	5.17519476350128	4.38630562135462	19.0185302721008	18.2263777317217
1	"AT1G01090"	9.98769618757882	9.12158312373308	9.64771342440224	10.6737840640769	10.4336427093272	9.83999826325261	8.57866278480357	74.5368418125938	65.5695078779397
2	"AT1G01100"	15.9365759616643	16.1591897558275	16.1420191389625	16.9358027019318	16.8230292495465	16.3226238318193	15.6448986268226	264.399867064086	216.103844244533
4	"AT1G01110"	3.17646709373475	3.30358748380419	3.61365427061537	3.63902176418596	3.65477613285923	3.78860687021322	3.870497741248	14.1411826225896	14.7322727220898
1	"AT1G01120"	3.73827050995171	3.8133469363992	3.88470508591656	3.11468599649514	3.10619251869499	2.85633227748931	3.16059014820314	15.675743768149	7.11316578463359
5	"AT1G01130"	2.9833702099118	3.01726149489034	3.28894446262796	2.69963732916608	2.87874757580348	2.9934123206309	3.4289201184863	13.1451486586566	9.75546448964711
12	"AT1G01140"	6.33554610265525	6.22956823279744	6.44839855785705	4.01430255186293	4.5826060843503	4.67863280329282	5.97470556439533	33.5270406559651	34.5805611334795
2	"AT1G01150"	1.1802933961268	1.24941178079355	1.2181794317339	1.09028394876432	1.00414684185652	1.04223110171181	1.16133990441667	1.6797579546347	1.19343913576677
2	"AT1G01160"	5.13136862930628	5.1063133968423	5.75565631731549	5.69073816587383	5.77997086759185	5.41850411424507	5.31853623230606	25.7409058856703	27.1902769234996
4	"AT1G01170"	5.48952546708482	5.78532827701093	5.15376440633342	5.45295997733817	5.46278346145569	5.23625590565978	5.63038147876131	29.7899781592167	31.5770207901546
1	"AT1G01190"	4.96457045010271	5.11521884944943	4.52296710387009	3.96716817701483	3.43538419381304	3.16207083175578	3.89453232522306	16.6466729846506	9.16141216729116
1	"AT1G01200"	1.76865472419431	1.77174448742486	1.62164857307658	1.50396132637017	1.45981316681184	1.28519415781422	1.65552609321979	3.3184858555206	2.68055169750632
1	"AT1G01210"	3.13698802894896	3.25935421448326	3.52034488360223	3.56214204057076	3.88765144726336	3.37004851377778	3.32242348324195	11.658928541462	10.3652203360128
1	"AT1G01220"	4.09695676194416	4.18081703061183	3.82747864374332	4.20768944994293	3.97555764905044	4.20899387952406	4.0544467791287	18.8667437485361	15.7408843338788
2	"AT1G01225"	2.25930396622715	2.37173669111621	2.44220287810848	2.4479425222053	2.34799882397878	2.22070243595972	2.37311883156601	5.93922284006131	5.61969845906684
2	"AT1G01230"	3.72489741852798	3.77703664040029	3.74423781970008	3.86017442007982	3.88350390304696	3.93262260653217	4.06937625752515	15.5541976881784	19.367028757764
5	"AT1G01240"	2.93516947774395	3.2744412578141	2.83821337385555	3.29363038782303	3.17687162165652	3.26945246770448	3.12949921106182	9.16118228515253	13.244277879947
4	"AT1G01260"	5.32888293372631	5.58291094716685	5.23095944677042	3.72279697186173	3.8678047868791	3.97872158654648	4.59482321818085	18.3947079287017	25.8767157150478
1	"AT1G01290"	3.52714297231161	3.66477151776001	3.36347222530668	3.36842015011545	3.34081086345	3.30226429962321	3.47301239777157	12.0453806675361	11.1551161354024
2	"AT1G01300"	11.5766425718444	11.1495378662746	12.2063301549927	10.8044698647447	11.0202556705538	9.4801642551929	10.7981566428429	99.4363773982279	104.728408577307
1	"AT1G01320"	7.78761761173289	7.3751932394391	7.96015235673025	9.63566582885013	9.46595088344076	10.0241404424832	7.64680699149571	70.3077182382927	48.4759006736463
2	"AT1G01350"	4.60661376299611	4.86389582572232	4.48858391632088	4.57631977057402	4.47119734112374	4.41792616225637	4.58843383951301	19.2510992470604	20.7788760692863
4	"AT1G01360"	2.65432911203864	2.65791070045913	2.94728925563932	2.97762800812956	3.1187093002131	3.19949235550056	3.31969728099866	10.3171024691162	18.502773240989
2	"AT1G01370"	3.59747467509389	3.65770171951254	3.65508850930974	3.67183540185183	3.65395198211987	3.35510896711961	3.32231635790448	9.33808946655021	7.42369029507248
5	"AT1G01380"	1.11249119542615	1.0979582397187	1.33953960411051	1.52607418645215	1.53174499906591	1.46632433022793	1.2614352885255	1.31089264477806	1.03620042908491
2	"AT1G01420"	1.82638618894477	1.84696305477055	1.74972014660089	1.60319202807594	1.59325143270005	1.39881027168195	1.58577733638482	3.12737103530484	2.41806328071313
2	"AT1G01430"	3.61104636226016	3.5110806968996	3.59220141530744	4.20999064301287	3.97033378009473	3.85440446948807	3.6443294473349	15.1362489208784	13.2491335961995
1	"AT1G01440"	3.99292547011583	4.06929034222238	4.04991351222766	4.14746985865122	4.20336845864423	4.29291442890247	4.18498729727493	15.0696781878192	18.2521020482606
1	"AT1G01470"	12.0492604462092	12.2979031780557	11.9992616342452	6.16331190098119	6.56678855192368	5.46290426170766	9.77852760187854	68.6980057217176	129.455864333162
5	"AT1G01490"	5.97289685615261	6.22641181839476	6.18920283503228	6.02449164740497	6.13763710512824	5.21524992505136	5.74879750196278	32.2142416392591	35.6768896229252
3	"AT1G01500"	1.87231473622834	1.60356353705213	1.71120618988409	2.20923782450756	2.18807823141678	2.09505178941423	1.70617984810195	1.91854950196407	3.0503523045753
1	"AT1G01510"	7.35456924825855	7.17443573379851	7.6058659660084	7.86430675750998	7.74484932758834	7.93646758220862	7.61858916099768	56.1085675766361	60.9314115447446
12	"AT1G01540"	7.1769543954922	7.46276709204624	7.47091799153385	6.85742676509026	6.91089819368112	7.06362181785773	7.7762185173391	63.7750118069125	55.3395168859547
4	"AT1G01550"	9.88244815981831	10.1375586793327	9.24231357620386	7.2933879815599	7.31736106709946	7.33391446321921	8.64887297527929	80.1918158078042	66.5870378611348
12	"AT1G01560"	3.3294577444427	4.22646925721363	3.51251952599578	1.26025109464415	1.92051351263937	1.67084196384573	2.78109003440612	10.2485105632501	4.19498091411877
2	"AT1G01570"	1.4542478121234	1.34405549326537	1.31908650140513	1.10704433926646	1.12774810500099	1.17090117439615	1.02403431919236	1.08520995980246	1.13869466940451
1	"AT1G01580"	2.47593802810956	2.39843172557646	2.31080014808556	1.49374442095035	1.48015075295922	1.39043137131922	1.81446407708247	5.35498229286261	2.68426261380919
1	"AT1G01600"	1.81527649533442	1.6933063368172	1.82445734208369	2.52189985134625	2.81721494736971	2.93604980164957	1.96680097461662	4.45327404227271	4.19559632535131
4	"AT1G01610"	4.78315530331055	4.44322527700906	5.1731878624947	5.91905057088975	5.81443224741578	5.76919458409026	4.32068414879418	21.3946445660342	18.9898004533704
1	"AT1G01620"	16.6017684417831	16.6317758143148	17.2802900624695	19.1652194029112	18.6467000404335	19.2047353228262	18.1677421861237	321.628821786015	341.392035410434
2	"AT1G01630"	5.00571920787506	4.74325624936835	5.22470600005465	5.7517408487426	5.73904711837794	5.51373060787427	4.83684615458856	23.6324715167234	20.1843582884519
2	"AT1G01640"	1.43395214871176	1.50329503466409	1.55949875632793	1.40428173636091	1.49590012606784	1.23392054651996	1.71115460144298	2.70038190060946	3.80540981990283
1	"AT1G01650"	5.72478788298872	5.79032027816156	5.88766504007984	4.57083061318747	4.75590489437586	4.69124400838832	5.09607616044983	25.3736626898893	34.4641197840123
1	"AT1G01660"	2.14015116896668	2.37012877350897	2.1556750283611	2.00563408590527	1.95823985178713	1.76511625376722	2.15008122236714	4.40558471032427	4.3659409187004
1	"AT1G01670"	2.03911120523042	2.0708916569076	1.99949719254686	2.08579883941654	1.87395928987717	1.89854747136644	2.01392761484875	3.95870761980405	4.31698193004461
6	"AT1G01690"	3.90871037370523	4.02574137019085	3.64377416164756	3.85697668694844	3.6421518990559	3.71917802688142	3.6373412149525	13.7130131282915	10.6308481147185
2	"AT1G01700"	2.19985022321265	2.38247723923758	2.05262799866558	1.98921473847594	1.91189873734706	2.03232850038531	1.97625390312232	4.05898410452434	4.06527243915596
1	"AT1G01710"	4.35480615923777	4.46333230891553	4.26387789349527	4.36075473074439	4.25916132975352	4.29833100888723	4.51960883422297	20.1184212120871	21.1273030969232
4	"AT1G01720"	5.49572633963571	5.23737650986257	5.54569440261942	3.89010735894888	4.74111426053643	3.97562465674537	4.22094507708903	21.3512347254309	22.0607203907626
6	"AT1G01725"	2.31701348189415	2.35636223962693	2.61249608950726	2.44822986888325	2.35458818019948	2.36496406993382	2.35021987031404	5.2169259172586	6.96825031601759
7	"AT1G01730"	4.83307670611035	4.80702401419438	4.75522113357678	5.11337646157788	4.92939572956638	4.56248966556366	4.68272484243061	20.8970673377037	22.0657451331105
1	"AT1G01740"	2.66301593127302	2.66933161128522	2.49315900436686	2.66412370879639	2.64099308590492	2.83146274797192	2.53135754953596	6.97487031284322	6.10117608490109
2	"AT1G01750"	1.47444152546021	1.39640305667072	1.30475123180985	1.28724009269143	1.11752958597729	1.35434711638401	1.14947774644181	1.61063797189457	1.41861266893869
2	"AT1G01760"	2.31091025682602	2.34459796122701	2.28673779746697	2.58401093351596	2.51533439583967	2.66942873965074	2.30088937164054	5.35710159264344	5.75075882738508
1	"AT1G01770"	3.47764839240634	3.48089479065178	3.33607651684426	3.80422396530123	3.62162054831872	3.71299008776816	3.41453859165891	12.8467260642726	12.1414341474565
2	"AT1G01780"	2.1252705321709	2.37298197558138	2.34782148778182	2.38273965858272	2.26715487308822	2.1901042717988	2.08960611588161	4.57312738146756	3.67511579134133
1	"AT1G01790"	5.22129205125727	5.2258302374556	5.08563879353294	5.61765617720943	5.50442355810327	6.02724791383405	5.10911894219952	29.2696392952148	24.3255957480937
1	"AT1G01800"	6.87949562591121	6.87158425041121	7.02563881690687	7.20979303128998	7.1920252882355	7.24299543139752	7.80113052507702	57.7073855965822	68.1279196699628
2	"AT1G01820"	5.00644500922088	5.09586290971074	4.95456276982431	5.25159720669435	5.32693745416787	5.44182194771746	5.31613669003592	27.33930725591	31.2403599152604
2	"AT1G01830"	3.54692600576747	3.63934362668594	3.40433157621518	3.889791449996	3.64959847684908	3.80581784941799	3.50327928636665	12.8834419787112	13.5156856510292
7	"AT1G01840"	1.2685073260017	1.17530208435641	1.59490441723735	1.58768904572678	1.59095259319851	1.46889975632112	1.3713024508086	1.88300996752148	1.81690322666883
1	"AT1G01860"	2.46287467031687	2.37079696061233	2.47368137942336	2.91437401887678	2.84569560789036	2.8780242335964	2.40210006328738	5.86831868748169	5.92962840221954
1	"AT1G01880"	1.94195018213861	1.84224877664405	1.79365584341995	2.05543691323232	1.99340393648214	2.12091525727746	1.83376253140287	3.85843178726312	3.32607947160578
1	"AT1G01900"	2.83961822805631	3.04802666026148	3.0942509986326	3.0536645452754	3.11268950406576	3.03478126306028	3.13996628152086	9.8789863138665	10.0187614204061
1	"AT1G01910"	6.27078238340849	6.04039365363957	6.42755391544885	6.8490062998899	6.86195602046611	6.83581976146379	6.62242972333551	43.8658276495304	43.1899418978138
2	"AT1G01920"	4.13120717674194	4.16122276819849	4.2217333406462	4.4802396279836	4.4329635148637	4.59067163301493	4.35548069510176	19.3703702595619	20.2829058099046
2	"AT1G01930"	3.19212491417081	3.19418496805752	3.06662840536379	3.25019116831215	3.23493213122432	3.21806411672546	3.12213395911186	9.42046943488817	9.61301679242675
1	"AT1G01940"	4.12480751503559	4.07541244294739	4.25252352354729	4.19893355361697	4.15536959832474	3.98314089277496	4.17916833880425	15.4973688235221	15.4322494571972
